DMOS,PESQ,ViSQOL-S,ViSQOL-A
4.380952381,4.634376049,4.49167156,4.72720977
4.238095238,4.637168884,4.43395519,4.72537565
4.142857143,4.596562386,4.46272945,4.70449017
4.285714286,4.634562016,4.49049377,4.73025249
4.238095238,4.643104553,4.49447441,4.73112362
4.238095238,4.642582417,4.48402882,4.72830877
4,4.63724184,4.52120209,4.73146901
4.142857143,4.638850212,4.49497414,4.7310078
2.619047619,4.218660355,4.11202335,1.95260485
2.380952381,4.112250805,3.43816662,2.02941953
2.19047619,3.775869846,3.04596114,1.86600908
2.095238095,3.734186172,3.65346003,1.89687706
2.428571429,4.209551811,4.10326672,1.94110314
2.333333333,4.115801334,3.48436069,2.05680001
2.047619048,3.779479504,2.91550708,1.84439427
2.095238095,3.727102518,3.67868996,1.93778842
